Date,Order number,Category,Category name,Origin,Remaining (MT)
2026-08-12,058602,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Korea (the Republic of),818
2026-08-12,058603,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Residual,1918
2026-08-12,058604,4,Metallic Coated Sheets,EU,79033
2026-08-12,058605,4,Metallic Coated Sheets,India,20617
2026-08-12,058606,4,Metallic Coated Sheets,Korea (the Republic of),18966
2026-08-12,058607,4,Metallic Coated Sheets,Vietnam,43495
2026-08-12,058608,4,Metallic Coated Sheets,Residual,14753
2026-08-12,058609,5,Organic Coated Sheets,EU,2014
2026-08-12,058610,5,Organic Coated Sheets,Korea (the Republic of),4622
2026-08-12,058611,5,Organic Coated Sheets,Residual,323
2026-08-12,058612,6,Tin Mill Products,EU,9190
2026-08-12,058613,6,Tin Mill Products,Japan,78
2026-08-12,058614,6,Tin Mill Products,Korea (the Republic of),280
2026-08-12,058615,6,Tin Mill Products,Residual,5876
2026-08-12,058616,7,Non-Alloy and Other Alloy Quarto Plates,EU,36086
2026-08-12,058617,7,Non-Alloy and Other Alloy Quarto Plates,Korea (the Republic of),8444
2026-08-12,058618,7,Non-Alloy and Other Alloy Quarto Plates,United States of America (the),190
2026-08-12,058619,7,Non-Alloy and Other Alloy Quarto Plates,Residual,2024
2026-08-12,058620,12A,Alloy Merchant Bars and Light Sections,EU,14526
2026-08-12,058621,12A,Alloy Merchant Bars and Light Sections,Residual,5147
2026-08-12,058622,12B,Non Alloy Merchant Bars and Light Sections,EU,634
2026-08-12,058623,12B,Non Alloy Merchant Bars and Light Sections,Turkey,309
2026-08-12,058624,12B,Non Alloy Merchant Bars and Light Sections,Residual,0
2026-08-12,058625,13,Rebars,EU,24246
2026-08-12,058626,13,Rebars,Turkey,5308
2026-08-12,058627,13,Rebars,Residual,2
2026-08-12,058628,14,Stainless Bars and Light Sections,EU,1807
2026-08-12,058629,14,Stainless Bars and Light Sections,United States of America (the),376
2026-08-12,058630,14,Stainless Bars and Light Sections,Residual,11
2026-08-12,058634,16,Non-alloy and other alloy wire rod,EU,29592
2026-08-12,058635,16,Non-alloy and other alloy wire rod,Residual,0
2026-08-12,058636,17,"Angles, shapes, and sections of iron or non-alloy steel",EU,38433
2026-08-12,058637,17,"Angles, shapes, and sections of iron or non-alloy steel",Korea (the Republic of),729
2026-08-12,058638,17,"Angles, shapes, and sections of iron or non-alloy steel",United States of America (the),213
2026-08-12,058639,17,"Angles, shapes, and sections of iron or non-alloy steel",Residual,1935
2026-08-12,058642,20,Gas Pipes,EU,2813
2026-08-12,058643,20,Gas Pipes,India,923
2026-08-12,058644,20,Gas Pipes,Turkey,3632
2026-08-12,058645,20,Gas Pipes,Residual,1217
2026-08-12,058646,21,Hollow Sections,EU,2696
2026-08-12,058647,21,Hollow Sections,Turkey,19603
2026-08-12,058648,21,Hollow Sections,Residual,2316
2026-08-13,058600,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,EU,62782
